label,form,ids,note
full_enrolled/by_enrolment_group/AP,Timed Up Go,8,complete
full_enrolled/by_enrolment_group/AP,UPDRS 1.2 part 3,1,complete
full_enrolled/by_enrolment_group/HC,enrollment,279,
full_enrolled/by_enrolment_group/HC,Apathy Evaluation Informant,0,complete
full_enrolled/by_enrolment_group/HC,Apathy Evaluation Self,0,complete
full_enrolled/by_enrolment_group/HC,Apathy Scale,1,complete
full_enrolled/by_enrolment_group/HC,BAI,14,complete
full_enrolled/by_enrolment_group/HC,BDII,37,complete
full_enrolled/by_enrolment_group/HC,Clinical,31,complete
full_enrolled/by_enrolment_group/HC,Demographic,209,complete
full_enrolled/by_enrolment_group/HC,EHI,56,complete
full_enrolled/by_enrolment_group/HC,Epidemiological,279,no_completion_col
full_enrolled/by_enrolment_group/HC,Fatigue Severity Scale,1,complete
full_enrolled/by_enrolment_group/HC,FrSBe,0,complete
full_enrolled/by_enrolment_group/HC,MBIC,2,complete
full_enrolled/by_enrolment_group/HC,MBIC (CaPRI),41,complete
full_enrolled/by_enrolment_group/HC,MDS-UPDRS,84,complete
full_enrolled/by_enrolment_group/HC,MDS-UPDRS-1,0,complete
full_enrolled/by_enrolment_group/HC,Medication,62,complete
full_enrolled/by_enrolment_group/HC,MoCA,219,complete
full_enrolled/by_enrolment_group/HC,MoCA-1,9,complete
full_enrolled/by_enrolment_group/HC,MoCA-2,0,complete
full_enrolled/by_enrolment_group/HC,Neuropsychological,90,complete
full_enrolled/by_enrolment_group/HC,Neuropsychological (CaPRI),13,complete
full_enrolled/by_enrolment_group/HC,Neuropsychological V02,0,complete
full_enrolled/by_enrolment_group/HC,PDQ 39,7,complete
full_enrolled/by_enrolment_group/HC,PDQ 8,1,complete
full_enrolled/by_enrolment_group/HC,Parkinson Severity Scale,1,complete
full_enrolled/by_enrolment_group/HC,SCOPA,1,complete
full_enrolled/by_enrolment_group/HC,Schwab & England,1,complete
full_enrolled/by_enrolment_group/HC,Timed Up Go,0,complete
full_enrolled/by_enrolment_group/HC,UPDRS 1.2 part 3,0,complete
full_enrolled/by_determined_dx/0_PD,enrollment,1681,
full_enrolled/by_determined_dx/0_PD,Apathy Evaluation Informant,0,complete
full_enrolled/by_determined_dx/0_PD,Apathy Evaluation Self,0,complete
full_enrolled/by_determined_dx/0_PD,Apathy Scale,182,complete
full_enrolled/by_determined_dx/0_PD,BAI,47,complete
full_enrolled/by_determined_dx/0_PD,BDII,423,complete
full_enrolled/by_determined_dx/0_PD,Clinical,1651,complete
full_enrolled/by_determined_dx/0_PD,Demographic,1592,complete
full_enrolled/by_determined_dx/0_PD,EHI,396,complete
full_enrolled/by_determined_dx/0_PD,Epidemiological,1681,no_completion_col
full_enrolled/by_determined_dx/0_PD,Fatigue Severity Scale,181,complete
full_enrolled/by_determined_dx/0_PD,FrSBe,0,complete
full_enrolled/by_determined_dx/0_PD,MBIC,406,complete
full_enrolled/by_determined_dx/0_PD,MBIC (CaPRI),303,complete
full_enrolled/by_determined_dx/0_PD,MDS-UPDRS,1438,complete
full_enrolled/by_determined_dx/0_PD,MDS-UPDRS-1,21,complete
full_enrolled/by_determined_dx/0_PD,Medication,1613,complete
full_enrolled/by_determined_dx/0_PD,MoCA,1484,complete
full_enrolled/by_determined_dx/0_PD,MoCA-1,22,complete
full_enrolled/by_determined_dx/0_PD,MoCA-2,1,complete
full_enrolled/by_determined_dx/0_PD,Neuropsychological,254,complete
full_enrolled/by_determined_dx/0_PD,Neuropsychological (CaPRI),121,complete
full_enrolled/by_determined_dx/0_PD,Neuropsychological V02,34,complete
full_enrolled/by_determined_dx/0_PD,PDQ 39,400,complete
full_enrolled/by_determined_dx/0_PD,PDQ 8,186,complete
full_enrolled/by_determined_dx/0_PD,Parkinson Severity Scale,185,complete
full_enrolled/by_determined_dx/0_PD,SCOPA,184,complete
full_enrolled/by_determined_dx/0_PD,Schwab & England,181,complete
full_enrolled/by_determined_dx/0_PD,Timed Up Go,172,complete
full_enrolled/by_determined_dx/0_PD,UPDRS 1.2 part 3,158,complete
full_enrolled/by_determined_dx/1_PSP,enrollment,27,
full_enrolled/by_determined_dx/1_PSP,Apathy Evaluation Informant,0,complete
full_enrolled/by_determined_dx/1_PSP,Apathy Evaluation Self,0,complete
full_enrolled/by_determined_dx/1_PSP,Apathy Scale,2,complete
full_enrolled/by_determined_dx/1_PSP,BAI,0,complete
full_enrolled/by_determined_dx/1_PSP,BDII,2,complete
full_enrolled/by_determined_dx/1_PSP,Clinical,25,complete
full_enrolled/by_determined_dx/1_PSP,Demographic,24,complete
full_enrolled/by_determined_dx/1_PSP,EHI,6,complete
full_enrolled/by_determined_dx/1_PSP,Epidemiological,27,no_completion_col
full_enrolled/by_determined_dx/1_PSP,Fatigue Severity Scale,2,complete
full_enrolled/by_determined_dx/1_PSP,FrSBe,0,complete
full_enrolled/by_determined_dx/1_PSP,MBIC,3,complete
full_enrolled/by_determined_dx/1_PSP,MBIC (CaPRI),5,complete
full_enrolled/by_determined_dx/1_PSP,MDS-UPDRS,21,complete
full_enrolled/by_determined_dx/1_PSP,MDS-UPDRS-1,0,complete
full_enrolled/by_determined_dx/1_PSP,Medication,25,complete
full_enrolled/by_determined_dx/1_PSP,MoCA,23,complete
full_enrolled/by_determined_dx/1_PSP,MoCA-1,1,complete
full_enrolled/by_determined_dx/1_PSP,MoCA-2,0,complete
full_enrolled/by_determined_dx/1_PSP,Neuropsychological,7,complete
full_enrolled/by_determined_dx/1_PSP,Neuropsychological (CaPRI),0,complete
full_enrolled/by_determined_dx/1_PSP,Neuropsychological V02,1,complete
full_enrolled/by_determined_dx/1_PSP,PDQ 39,7,complete
full_enrolled/by_determined_dx/1_PSP,PDQ 8,2,complete
