Form,Grouping,Variable,Type,Test,Statistic,p_value,Significant,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,AP n,AP mean,AP sd,AP median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Bdii,by_enrolment_group,5. Guilty Feelings/Sentiments de culpabilité,Categorical,Chi-square,14.5672,0.023904,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,9. Suicidal Thoughts or Wishes/Pensées ou désirs de ,Categorical,Chi-square,66.64,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,10. Crying/Pleurs,Categorical,Chi-square,28.717,6.9e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,12. Loss of Interest/Perte d'intérêt,Categorical,Chi-square,37.6878,1e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,13. Indecisiveness/Indécision,Categorical,Chi-square,39.6492,1e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,14. Worthlessness/Dévalorisation,Categorical,Chi-square,70.3854,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,15. Loss of Energy/Perte d'énergie,Categorical,Chi-square,27.5704,0.000113,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,17. Irritability/Irritabilité,Categorical,Chi-square,25.9931,0.000223,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,18. Changes in Appetite/Modifications de l'appétit,Categorical,Chi-square,23.242,0.02574,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,19. Concentration Difficulty/Difficulté à se concent,Categorical,Chi-square,24.5872,0.000407,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,20. Tiredness or Fatigue,Categorical,Chi-square,15.3835,0.017475,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,enrolment_group,Categorical,Chi-square,934.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,"Determined diagnosis:  If score = 0, Parkinson's Dis",Numeric,Kruskal-Wallis,1338.5363,0.0,Yes,0.0,,,,1648.0,0.014,0.247,0.0,69.0,2.348,2.141,2.0,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,Weight of the participant (kg):,Numeric,Kruskal-Wallis,6.5221,0.038348,Yes,21.0,68.875,15.311,63.5,417.0,76.125,15.394,77.11,32.0,75.787,22.845,73.785,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,B. Height of the participant (ft):,Numeric,Kruskal-Wallis,13.4281,0.001214,Yes,25.0,5.39,0.263,5.4,420.0,5.565,0.332,5.6,35.0,5.434,0.35,5.31,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,Height of the participant (cm):,Numeric,Kruskal-Wallis,11.291,0.003533,Yes,23.0,165.647,7.864,164.59,420.0,168.898,13.923,170.69,35.0,164.828,10.075,162.0,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,What is the current duration of disease? (years),Numeric,Kruskal-Wallis,50.0492,0.0,Yes,0.0,,,,1646.0,9.293,5.738,8.1,78.0,5.778,6.123,4.4,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,What is the duration of disease at the time the clin,Numeric,Kruskal-Wallis,32.5408,0.0,Yes,0.0,,,,1642.0,5.883,5.366,4.2,78.0,3.542,5.957,1.7,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,What is the duration of disease at the time the covi,Numeric,Kruskal-Wallis,5.5118,0.018888,Yes,0.0,,,,203.0,6.401,5.432,5.2,4.0,1.45,1.537,1.0,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,What is the duration of disease at the time the bloo,Numeric,Kruskal-Wallis,16.1437,5.9e-05,Yes,0.0,,,,1396.0,5.753,5.272,4.1,60.0,4.125,6.608,2.25,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,Current duration since symptoms first appear: (years,Numeric,Kruskal-Wallis,14.9161,0.000112,Yes,0.0,,,,1639.0,11.613,6.48,10.2,83.0,10.282,9.833,7.3,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,Duration since symptoms first appear when the clinic,Numeric,Kruskal-Wallis,5.1034,0.02388,Yes,0.0,,,,1635.0,8.211,6.233,6.6,83.0,7.923,9.855,4.7,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,15a. How many times did you fall?,Numeric,Kruskal-Wallis,6.8374,0.008927,Yes,1.0,1.0,,1.0,360.0,7.95,39.504,2.0,44.0,10.886,20.194,2.5,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,Questionnaire completed by:,Categorical,Chi-square,529.7641,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,How is the questionnaire completed?,Categorical,Chi-square,33.2969,9e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,1. Was the patient diagnosed with Parkinson's diseas,Categorical,Chi-square,1472.8274,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,"1a. If 'No' or 'Uncertain', is the diagnosis....",Categorical,Chi-square,28.7483,0.0113,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,"1b. If applicable, what is the level of certainty of",Categorical,Chi-square,103.7457,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,1c. How was the diagnosis confirmed for C-OPN?,Categorical,Chi-square,31.8479,2e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,"If other, please specify:",Categorical,Chi-square,43.0,0.004719,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,2. What is the date of diagnosis?,Categorical,Chi-square,1067.3836,0.000132,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,4. What were the first symptoms?,Categorical,Chi-square,178.1569,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,5. Date when the symptoms first appear:,Categorical,Chi-square,810.8079,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,"8. When the symptoms began, did the symptoms present",Categorical,Chi-square,74.3394,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,9. What symptoms are currently present?,Categorical,Chi-square,187.9385,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,10. Do the symptoms affect both sides of your body n,Categorical,Chi-square,569.3782,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,11. Does the development of motor symptoms progress ,Categorical,Chi-square,21.3083,0.000275,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,13. Do you currently have dyskinesia? (involuntary m,Categorical,Chi-square,25.5151,4e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,13a. What impact do the dyskinesia have on your dail,Categorical,Chi-square,15.5757,0.001385,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,14a. What impact does the freezing of gait have on y,Categorical,Chi-square,17.5133,0.000554,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,15. Have you fallen in the last 3 months?,Categorical,Chi-square,50.023,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,16. Can you stand unaided?,Categorical,Chi-square,23.1094,1e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,17. Can you engage in activities outside of the home,Categorical,Chi-square,95.0802,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,18. Do you experience motor fluctuations? (On/Off pe,Categorical,Chi-square,289.3636,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,19. Was the patient ON or OFF during the study visit,Categorical,Chi-square,28.0492,0.000465,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,20. Do you think your medications are working well c,Categorical,Chi-square,148.7896,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,21. Hoehn & Yahr Rating Scale:,Categorical,Chi-square,27.6392,1.5e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,When was the Hoehn & Yahr evaluation completed?,Categorical,Chi-square,420.493,0.048623,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,22. Does the patient have dementia?,Categorical,Chi-square,26.1913,2e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,23. Has the patient had surgery for Parkinson's?,Categorical,Chi-square,6.4379,0.039997,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical,by_enrolment_group,enrolment_group,Categorical,Chi-square,3556.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,Age at study visit (automatic calculated field):,Numeric,Kruskal-Wallis,8.2626,0.016062,Yes,202.0,62.916,11.611,66.0,1644.0,66.091,9.491,67.0,86.0,65.674,11.564,67.0,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,5. Years of education (calculate the total number of,Numeric,Kruskal-Wallis,9.7538,0.007621,Yes,184.0,15.739,2.48,16.0,1519.0,15.083,2.994,16.0,81.0,14.679,2.898,15.0,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,11b. How many language(s) do you speak?,Numeric,Kruskal-Wallis,22.2105,1.5e-05,Yes,82.0,2.134,0.662,2.0,493.0,1.832,0.761,2.0,50.0,2.2,0.904,2.0,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,How is the questionnaire completed?,Categorical,Chi-square,20.1201,0.002636,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,1. Gender/Genre:,Categorical,Chi-square,73.6512,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,2. What is your current marital status?,Categorical,Chi-square,28.3191,0.001605,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,3. What is your current living situation?,Categorical,Chi-square,31.9648,0.000406,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,6. What is your current employment status?,Categorical,Chi-square,165.1625,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,7. Do you have a regular caregiver? A caregiver as p,Categorical,Chi-square,446.2291,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,7a. Please specify regular caregiver:,Categorical,Chi-square,21.4832,0.001502,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,7b. Professional status of the caregiver:,Categorical,Chi-square,18.8606,0.004406,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,"8. If the questionnaire was done in-person, is the r",Categorical,Chi-square,70.993,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,9. Do you attend a support group for your disease?,Categorical,Chi-square,1143.8485,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,11. What is your first language?,Categorical,Chi-square,32.0156,2e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,11c. List of spoken language(s):,Categorical,Chi-square,132.4413,2e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,12. Do you understand English well enough to partici,Categorical,Chi-square,7.5419,0.023031,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,13. Do you understand French well enough to particip,Categorical,Chi-square,38.2764,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic,by_enrolment_group,enrolment_group,Categorical,Chi-square,4004.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehi,by_enrolment_group,EHI Total Score Left,Numeric,Kruskal-Wallis,6.1113,0.047093,Yes,56.0,3.75,6.442,1.5,396.0,3.063,4.677,2.0,26.0,1.423,2.501,0.0,,,,,,,,,,,,,,,,,,,,
Ehi,by_enrolment_group,1. Writing,Categorical,Chi-square,16.3618,0.037485,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehi,by_enrolment_group,enrolment_group,Categorical,Chi-square,956.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,How many follow-ups were completed by this participa,Numeric,Kruskal-Wallis,11.7882,0.002756,Yes,11.0,1.0,0.0,1.0,112.0,2.0,1.139,2.0,6.0,1.5,0.837,1.0,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Age at blood draw:,Numeric,Kruskal-Wallis,10.1888,0.006131,Yes,232.0,62.659,11.989,66.0,1478.0,66.048,9.26,67.0,83.0,65.723,10.754,66.0,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Questionnaire completed by:,Categorical,Chi-square,436.2002,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Questionnaire completed:,Categorical,Chi-square,2473.1843,2.5e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Site:,Categorical,Chi-square,160.7401,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,QPN/RPQ Site:,Categorical,Chi-square,19.7838,0.003026,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,FOR NATIONAL COORDINATOR USE ONLY**  Was the partici,Categorical,Chi-square,13.3074,0.001289,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Does the participant have follow-ups prior to this e,Categorical,Chi-square,15.1902,0.004323,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Date of enrollment (Date participant signed ICF):,Categorical,Chi-square,2614.8166,0.000146,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Date of study visit:,Categorical,Chi-square,2564.3389,0.00571,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Date of blood draw:,Categorical,Chi-square,2127.7005,0.011595,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Language that the consent form was completed:,Categorical,Chi-square,23.5715,8e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Enrolment Group:,Categorical,Chi-square,4556.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Recruitment Source:,Categorical,Chi-square,443.0081,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Specify if you selected other:,Categorical,Chi-square,354.2344,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Has the participant participated in research or clin,Categorical,Chi-square,9.7718,0.007552,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,Notes:,Categorical,Chi-square,525.7234,0.043837,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,by_enrolment_group,enrolment_group,Categorical,Chi-square,4556.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,12a. Since when have you had trouble staying asleep?,Numeric,Kruskal-Wallis,7.8685,0.01956,Yes,55.0,12.655,12.993,10.0,465.0,218.55,615.866,5.0,34.0,68.647,344.772,5.0,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,13a. Since when have you had trouble dozing off or f,Numeric,Kruskal-Wallis,11.4643,0.00324,Yes,76.0,41.171,224.245,10.0,906.0,215.908,611.481,5.0,48.0,89.271,404.704,3.5,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,20a. How often do you exercise per week on average?,Numeric,Kruskal-Wallis,8.4629,0.014531,Yes,159.0,4.648,2.05,4.0,1328.0,9.706,149.925,5.0,54.0,4.5,1.476,5.0,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,20c. How many times a week do you do high intensity ,Numeric,Kruskal-Wallis,6.06,0.048317,Yes,44.0,1.614,1.017,1.0,295.0,2.085,1.502,1.0,27.0,1.778,1.368,1.0,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,24a. Since when have you been drinking alcohol? (How,Numeric,Kruskal-Wallis,9.0042,0.011086,Yes,141.0,39.837,13.566,42.0,1030.0,68.487,218.275,45.0,48.0,85.042,282.577,49.0,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,Questionnaire completed:,Categorical,Chi-square,2545.7211,0.047232,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,How is the questionnaire completed?,Categorical,Chi-square,25.0196,0.000339,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,1. Have you ever been diagnosed with:,Categorical,Chi-square,894.6616,0.000856,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,Please specify other:,Categorical,Chi-square,951.4566,0.022461,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,3. Have you ever experienced a hard blow to the head,Categorical,Chi-square,9.558,0.048569,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,4. Have you ever played high contact sports? (e.g. f,Categorical,Chi-square,11.6548,0.002946,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,5. Do you suffer from constipation?,Categorical,Chi-square,111.1442,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,6. Do you often (e.g. every day or multiple times (4,Categorical,Chi-square,40.5343,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,7. Do you ever have an irrepressible urge to move yo,Categorical,Chi-square,67.5494,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,8. Do you feel or have people told you that your sen,Categorical,Chi-square,167.5636,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,9. Have your friends or family told you lately that ,Categorical,Chi-square,20.7275,3.2e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,10. Have you noticed problems with your short term m,Categorical,Chi-square,35.4509,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,12. Do you have trouble staying asleep?,Categorical,Chi-square,26.6028,2.4e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,13. What are the chances that you would doze off or ,Categorical,Chi-square,23.8378,0.000559,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,14. Have you ever been told or have you ever noticed,Categorical,Chi-square,115.1601,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,"15. In the last month, have you experienced any unex",Categorical,Chi-square,36.2606,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,16. In which environment have you mostly lived?,Categorical,Chi-square,7.1654,0.0278,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,18. Have you ever used or been exposed to pesticides,Categorical,Chi-square,21.0277,2.7e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,20. Do you exercise on a regular basis?,Categorical,Chi-square,19.7592,5.1e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,Please specify other exercise:,Categorical,Chi-square,881.0195,0.037465,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,22. Are you currently receiving any of the following,Categorical,Chi-square,293.2481,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,24. Do you currently use any of the following?,Categorical,Chi-square,49.2019,0.014989,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,25. Does/did your biological father have Parkinson's,Categorical,Chi-square,13.1569,0.010534,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,29. Do you have grandparents with Parkinson's diseas,Categorical,Chi-square,15.7838,0.014963,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,30. Do you have any uncles or aunts with Parkinson's,Categorical,Chi-square,35.3143,0.008627,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,33. Have you ever had an MRI scan for medical reason,Categorical,Chi-square,13.6748,0.008409,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiological,by_enrolment_group,enrolment_group,Categorical,Chi-square,4556.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic,by_enrolment_group,Severity:,Numeric,Kruskal-Wallis,4.1797,0.040912,Yes,,,,,145.0,1.476,0.625,1.0,4.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,
Mbic,by_enrolment_group,enrolment_group,Categorical,Chi-square,400.3572,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,Motivation/Drive (sum of Question 1-6),Numeric,Kruskal-Wallis,27.1436,1e-06,Yes,41.0,0.951,2.109,0.0,303.0,1.663,2.942,0.0,23.0,4.957,4.577,4.0,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,Mood/Anxiety (sum of Question 7-12),Numeric,Kruskal-Wallis,25.431,3e-06,Yes,41.0,1.195,2.492,0.0,303.0,2.644,3.309,1.0,23.0,5.348,3.996,4.0,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,Impulsivity/Delay Gratification (sum of Question 13-,Numeric,Kruskal-Wallis,17.7047,0.000143,Yes,41.0,0.634,1.714,0.0,303.0,1.799,2.583,1.0,23.0,3.304,4.204,2.0,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,Societal Norms (sum of Question 25-29),Numeric,Kruskal-Wallis,10.8177,0.004477,Yes,41.0,0.098,0.374,0.0,303.0,0.215,0.753,0.0,23.0,0.913,2.314,0.0,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,Beliefs/Sensory Experiences (sum of Question 30-34),Numeric,Kruskal-Wallis,8.6023,0.013553,Yes,41.0,0.073,0.346,0.0,303.0,0.172,0.693,0.0,23.0,0.609,1.234,0.0,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,MBI-C Grand Total,Numeric,Kruskal-Wallis,32.4958,0.0,Yes,41.0,2.951,5.376,0.0,303.0,6.492,8.144,4.0,23.0,15.13,12.793,13.0,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,Who filled out the questionnaire?,Categorical,Chi-square,17.4391,0.025848,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,"1. Has the person lost interest in friends, family, ",Categorical,Chi-square,18.0079,0.000123,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
