Domain,Form,Grouping,Variable,KW H,raw p,η²,BH adj p,BH sig,AP n,AP mean,AP sd,AP median,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Mobility (Raw Score),24.9835,4e-06,0.0501,9e-06,Yes,26.0,16.0,12.211,12.0,7.0,0.0,0.0,0.0,429,8.557,8.729,6.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Mobility (Scale Score),24.9739,4e-06,0.0501,9e-06,Yes,26.0,40.0,30.529,30.0,7.0,0.0,0.0,0.0,429,21.393,21.823,15.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Activities of Daily Living  (Raw Score),24.8437,4e-06,0.0499,9e-06,Yes,26.0,8.808,6.287,8.0,7.0,0.0,0.0,0.0,428,5.166,4.697,4.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Activities of Daily Living (Scale Score),24.8551,4e-06,0.0499,9e-06,Yes,26.0,36.699,26.194,33.333,7.0,0.0,0.0,0.0,428,21.525,19.572,16.667,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Emotional Well Being (Raw Score),16.0827,0.000322,0.0307,0.00058,Yes,26.0,7.462,5.623,6.5,7.0,0.429,0.787,0.0,428,6.474,4.633,6.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Emotional Well Being (Scale Score),16.0901,0.000321,0.0308,0.00058,Yes,26.0,31.09,23.429,27.083,7.0,1.786,3.278,0.0,428,26.976,19.306,25.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Stigma (Raw Score),12.3248,0.002107,0.0225,0.00316,Yes,26.0,3.923,3.709,3.0,7.0,0.0,0.0,0.0,428,3.037,3.245,2.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Stigma (Scale Score),12.3248,0.002107,0.0225,0.00316,Yes,26.0,24.519,23.179,18.75,7.0,0.0,0.0,0.0,428,18.984,20.279,12.5,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Communication (Raw Score),27.2397,1e-06,0.0551,4e-06,Yes,26.0,5.077,3.273,5.5,7.0,0.143,0.378,0.0,428,2.257,2.294,2.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Communication (Scale Score),27.1617,1e-06,0.0549,4e-06,Yes,26.0,42.308,27.277,45.833,7.0,1.19,3.15,0.0,428,18.808,19.12,16.667,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Bodily Discomfort (Raw Score),10.2221,0.00603,0.0179,0.007911,Yes,26.0,3.923,2.622,3.5,7.0,0.857,1.215,0.0,429,3.921,2.675,4.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Bodily Discomfort (Scale Score),10.1817,0.006153,0.0178,0.007911,Yes,26.0,32.692,21.848,29.167,7.0,7.143,10.125,0.0,429,32.673,22.294,33.333,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Total Raw Score,28.6601,1e-06,0.0585,4e-06,Yes,26.0,50.615,25.633,53.0,7.0,3.0,3.916,0.0,426,34.481,21.918,30.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Pdq 39,enrolment_group,PDQ-39 Summary Index,28.7119,1e-06,0.0586,4e-06,Yes,26.0,32.446,16.431,33.974,7.0,1.923,2.51,0.0,426,22.103,14.05,19.231,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Mbic  Capri,determined_dx,Motivation/Drive (sum of Question 1-6),10.094,0.001488,0.0297,0.008928,Yes,,,,,,,,,303,1.696,2.952,0.0,,,,,,,,,,,,,5.0,6.8,3.633,7.0,,,,
